question,question_index,ground_truth,prediction,exact_match,f1,rougeL,semantic_similarity
Why did Chelsea sack Adrian Mutu?,0,He failed a drugs test., Chelsea sacked Adrian Mutu after he failed a drugs test.,0,0.6666666666666666,0.6666666666666666,0.5103461742401123
What did Mutu test positive for?,1,A banned substance.," The context does not specify the exact name of the banned substance that Adrian Mutu tested positive for. However, it mentions that he initially was reported to have failed a drugs test due to cocaine, but later suggested it was a substance designed to enhance sexual performance.",0,0.12,0.08,0.6095501780509949
What drug policy does Chelsea say it has?,2,A zero tolerance policy towards drugs., Chelsea says it has a zero tolerance policy towards both performance-enhancing drugs and so-called recreational drugs. They have no place at their club or in sport.,0,0.375,0.35294117647058826,0.40163543820381165
How many goals did Mutu score in his first five games?,3,Six goals., Mutu scored six goals in his first five games.,0,0.3636363636363636,0.3636363636363636,0.5025215148925781
What ban does FIFA's disciplinary code say should follow a first doping offence?,4,A sixmonth ban.," A six-month ban follows a first doping offence, according to FIFA's disciplinary code.",0,0.375,0.2222222222222222,0.626837968826294
Which athlete produced another world pole vault record at the Birmingham meet?,5,Yelena Isinbayeva., Yelena Isinbayeva,1,1.0,1.0,0.9751837253570557
Who looked good and was very positive at the athletics meet?,6,Kelly Holmes., Kelly Holmes,1,1.0,1.0,0.9801660776138306
Who finished second in the women's national 400m race?,7,Kim Wall., I could not find the answer in the provided context. There is no mention of a women's national 400m race in the provided text.,0,0.0,0.0,0.17187809944152832
Why was Mark Lewis-Francis disqualified?,8,For a false start., Mark Lewis-Francis was disqualified for false starting.,0,0.36363636363636365,0.5,0.5096951127052307
Which Kenyan was well beaten by Markos Geneti?,9,Kenenisa Bekele.," I could not find the answer in the provided context. The context does not mention a Kenyan being ""well beaten"" by Markos Geneti.",0,0.0,0.0,0.15129029750823975
Which Arsenal player described the tunnel fracas after Manchester United's win?,10,Edu.," Edu, the Brazilian player.",0,0.4,0.4,0.4504786431789398
What did Edu say he did not see being thrown at anyone?,11,Soup.," I could not find the answer in the provided context. The context does not mention any object being thrown at someone, specifically by Edu.",0,0.0,0.0,0.084058478474617
Which player was charged with serious foul play after the tunnel incident?,12,Ruud van Nistelrooy., Ruud van Nistelrooy,1,1.0,1.0,0.9737128019332886
Who said the victory over England was a special win?,13,Ronan O'Gara., Ronan O'Gara said the victory over England was a special win.,0,0.3076923076923077,0.4,0.41854214668273926
Which Ireland captain scored his side's only try?,14,Brian O'Driscoll., Brian O'Driscoll scored Ireland's only try in the given context.,0,0.33333333333333337,0.4,0.6232590675354004
Which coach was surprised Andy Robinson was certain Mark Cueto was onside?,15,Eddie O'Sullivan., Eddie O'Sullivan was surprised that Andy Robinson said he was certain Mark Cueto was onside.,0,0.23529411764705882,0.3157894736842105,0.4360691010951996
Who insisted Ireland were happy to handle the pressure of being favourites?,16,Brian O'Driscoll., Charlie Hodgson insisted Ireland were happy to handle the pressure of being favourites.,0,0.0,0.0,0.20890921354293823
Which Liverpool forward was uncertain if he remained part of Rafa Benitez's plans?,17,Milan Baros., Milan Baros,1,1.0,1.0,0.9782376885414124
Which cup final was Milan Baros dropped for?,18,The Carling Cup final., The Carling Cup Final,1,1.0,1.0,0.9830998182296753
